N
6,4.5,0,1,-1,-1,
6.5,4.5,1,1,-1,-1,
7,4.5,2,1,-1,-1,
7.5,4.5,3,1,-1,-1,
8,4.5,4,1,-1,-1,
6,5,5,1,-1,-1,
6.5,5,6,1,-1,-1,
7,5,7,1,-1,-1,
7.5,5,8,1,-1,-1,
8,5,9,1,-1,-1,
6,5.5,10,1,-1,-1,
6.5,5.5,11,1,-1,-1,
7,5.5,12,1,-1,-1,
7.5,5.5,13,1,-1,-1,
8,5.5,14,1,-1,-1,
6,6,15,1,-1,-1,
6.5,6,16,1,-1,-1,
7,6,17,1,-1,-1,
7.5,6,18,1,-1,-1,
8,6,19,1,-1,-1,
6,6.5,20,1,-1,-1,
6.5,6.5,21,1,-1,-1,
7,6.5,22,1,-1,-1,
7.5,6.5,23,1,-1,-1,
8,6.5,24,1,-1,-1,
A
1,0,6.5,4.5,6,4.5,0,
2,1,7,4.5,6.5,4.5,1,
3,2,7.5,4.5,7,4.5,2,
4,3,8,4.5,7.5,4.5,3,
5,0,6,5,6,4.5,4,
5,1,6,5,6.5,4.5,5,
6,0,6.5,5,6,4.5,6,
6,5,6.5,5,6,5,7,
6,1,6.5,5,6.5,4.5,8,
6,2,6.5,5,7,4.5,9,
7,1,7,5,6.5,4.5,10,
7,6,7,5,6.5,5,11,
7,2,7,5,7,4.5,12,
7,3,7,5,7.5,4.5,13,
8,2,7.5,5,7,4.5,14,
8,7,7.5,5,7,5,15,
8,3,7.5,5,7.5,4.5,16,
8,4,7.5,5,8,4.5,17,
9,3,8,5,7.5,4.5,18,
9,8,8,5,7.5,5,19,
9,4,8,5,8,4.5,20,
10,5,6,5.5,6,5,21,
10,6,6,5.5,6.5,5,22,
11,5,6.5,5.5,6,5,23,
11,10,6.5,5.5,6,5.5,24,
11,6,6.5,5.5,6.5,5,25,
11,7,6.5,5.5,7,5,26,
12,6,7,5.5,6.5,5,27,
12,11,7,5.5,6.5,5.5,28,
12,7,7,5.5,7,5,29,
12,8,7,5.5,7.5,5,30,
13,7,7.5,5.5,7,5,31,
13,12,7.5,5.5,7,5.5,32,
13,8,7.5,5.5,7.5,5,33,
13,9,7.5,5.5,8,5,34,
14,8,8,5.5,7.5,5,35,
14,13,8,5.5,7.5,5.5,36,
14,9,8,5.5,8,5,37,
15,10,6,6,6,5.5,38,
15,11,6,6,6.5,5.5,39,
16,10,6.5,6,6,5.5,40,
16,15,6.5,6,6,6,41,
16,11,6.5,6,6.5,5.5,42,
16,12,6.5,6,7,5.5,43,
17,11,7,6,6.5,5.5,44,
17,16,7,6,6.5,6,45,
17,12,7,6,7,5.5,46,
17,13,7,6,7.5,5.5,47,
18,12,7.5,6,7,5.5,48,
18,17,7.5,6,7,6,49,
18,13,7.5,6,7.5,5.5,50,
18,14,7.5,6,8,5.5,51,
19,13,8,6,7.5,5.5,52,
19,18,8,6,7.5,6,53,
19,14,8,6,8,5.5,54,
20,15,6,6.5,6,6,55,
20,16,6,6.5,6.5,6,56,
21,15,6.5,6.5,6,6,57,
21,20,6.5,6.5,6,6.5,58,
21,16,6.5,6.5,6.5,6,59,
21,17,6.5,6.5,7,6,60,
22,16,7,6.5,6.5,6,61,
22,21,7,6.5,6.5,6.5,62,
22,17,7,6.5,7,6,63,
22,18,7,6.5,7.5,6,64,
23,17,7.5,6.5,7,6,65,
23,22,7.5,6.5,7,6.5,66,
23,18,7.5,6.5,7.5,6,67,
23,19,7.5,6.5,8,6,68,
24,18,8,6.5,7.5,6,69,
24,23,8,6.5,7.5,6.5,70,
24,19,8,6.5,8,6,71,
B
S
L
C
5.93534,4.21538,5.21958,
